kr_technology,kr_date,domain,core_technology,us_technology,us_date,gap_years,match_type,confidence,reason
"피지컬 AI, 온디바이스 AI",2025-12,항공/공군,"피지컬 AI, 온디바이스 AI",Electric Vertical Takeoff and Landing (eVTOL) Aircraft - Heaviside,2021-05,4.6,data_match,high,"'항공/공군' 분야에서 '물리적 AI, 온디바이스 AI'라는 한국의 핵심 기술은 인공지능과 온보드 처리 능력을 활용하는 첨단 항공기 기술을 다루는 미국의 '전기 수직이착륙(eVTOL) 항공기 - 헤비사이드'와 일치합니다."
재사용 우주발사체용 메탄엔진,,우주,재사용 우주발사체용 메탄엔진,Space-based solar power satellite system with wireless power transmission,2014-03,,data_match,high,우주 발사체를 위한 재사용 가능한 메탄 엔진 기술은 우주 응용을 위한 첨단 추진 및 발전 기술을 다룬다는 점에서 미국의 우주 기반 태양광 발전 위성 시스템 기술과 유사합니다.
첨단 항공엔진,,항공/공군,첨단 항공엔진,Electric and hybrid aircraft,2024-06,,data_match,high,'첨단 항공 엔진'이라는 한국의 핵심 기술은 항공기 추진 및 엔진 기술과 관련된 미국의 '전기 및 하이브리드 항공기' 기술과 일치합니다.
"['KF-21 전투기', 'FA-50 경공격기', '수리온 헬기', 'LAH 경무장헬기', '소형 SAR 위성', 'KAILOT 무인기', 'UCAV 무인기', 'APP 무인기']",,항공/공군,항공기 개발 기술,electric vertical takeoff and landing (eVTOL) aircraft,2021-04,,data_match,high,"한국의 '항공기 개발 기술'은 '전투기, 경공격기, 헬리콥터, 무인기, 위성' 등 다양한 유형의 항공기를 다루며, 이는 한 유형의 항공기인 미국의 '전기 수직이착륙(eVTOL) 항공기' 기술과 일치합니다."
수소전기트램,,육상/지상,수소전기트램,ALIA electric aircraft,2023-10,,data_match,high,한국의 '수소 전기 트램'과 미국의 'ALIA 전기 항공기'는 모두 전기 차량 기술이므로 기술 유형이 일치합니다.
후방지역 사단급이하 전술통신체계,2027-00,통신/전자,후방지역 사단급이하 전술통신체계,"Android Team Awareness Kit (ATAK), Command & Control Communications Systems, AI/Machine Learning for military communications",,,data_match,high,한국의 '후방지역 사단 및 그 이하 부대를 위한 전술 통신 체계'는 군 통신을 위해 설계된 미국의 '지휘 통제 통신 시스템' 기술과 일치합니다.
UAM (도심항공교통),2028-06,항공/공군,UAM (도심항공교통),eVTOL (electric vertical take-off and landing) aircraft - Heaviside,2021-07,6.9,data_match,high,"한국의 도심항공교통(UAM) 핵심 기술은 전기 수직이착륙(eVTOL) 항공기 유형의 기술로, 이는 미국 기술과 일치합니다."
"프로펠러-모터 직결형 선회식 전기추진기(POD, Podded Propulsor)",2026-06,해상/해군,"프로펠러-모터 직결형 선회식 전기추진기 (POD, Podded Propulsor)",TiltRotor Aeroelastic Stability Testbed (TRAST),2020-12,5.5,data_match,high,"한국의 '프로펠러-모터 직결 회전 전기 추진(POD, Podded Propulsor)' 기술은 선박 추진 시스템 유형이며, 미국의 '틸트로터 공력 안정성 시험대(TRAST)' 기술도 추진 관련 기술이지만 항공기용입니다. 플랫폼은 다르지만 추진 시스템 분야에서 관련이 있습니다."
고성능 복합소재,,기타,고성능 복합소재,nanocrystalline ceramics,2024-09,,data_match,high,"한국의 '고성능 복합재료' 핵심 기술은 첨단 소재 유형이며, 이는 미국의 '나노결정질 세라믹' 기술과 '기타' 기술 분야에서 유사합니다."
C-390 밀레니엄 수송기,2023-01,항공/공군,C-390 밀레니엄 수송기,Expeditionary Fast Transport,2024-08,-1.6,data_match,high,"C-390 밀레니엄은 수송기이고 Expeditionary Fast Transport는 유사한 유형의 군수 수송선이므로, 수송/물류 플랫폼에서 관련이 있습니다."
지속가능경영품질대상,2025-10,기타,지속가능경영품질대상,"Automated biosensors for pathogen, toxin, pollutant, drug, and explosive detection",2012-03,13.6,data_match,high,한국의 기술 지속가능경영품질대상은 다양한 물질을 탐지하는 데 초점을 맞춘 미국의 자동화된 바이오센서 기술과 유사한 유형의 기술입니다.
무인 항공기(UAM),2025-09,항공/공군,무인 항공기(UAM),Autonomous object detection and landing systems; autonomy hardware and software architecture,2023-10,1.9,data_match,high,한국의 '무인항공기(UAM)' 기술은 항공/공군 분야의 동일한 기술 영역에서 미국의 '자율 객체 감지 및 착륙 시스템; 자율성 하드웨어 및 소프트웨어 아키텍처' 기술과 일치합니다.
항공안전센터,2025-09,항공/공군,항공안전센터,Autonomous flight control systems for logistics aircraft,2024-01,1.7,data_match,high,"한국의 '항공안전센터' 기술은 항공 안전 연구, 교육 및 네트워킹에 초점을 맞추고 있으며, 물류 항공기를 위한 자율 비행 제어 시스템 관련 미국 기술과 관련이 있습니다."
암모니아엔진 보호복,2026-03,해상/해군,암모니아엔진,eVTOL (electric vertical takeoff and landing) aircraft with hybrid-electric propulsion system,2021-09,4.5,data_match,high,한국의 핵심 기술 '암모니아 엔진'은 미국 기술 'eVTOL(전기 수직 이착륙) 하이브리드 전기 추진 시스템'과 일치할 수 있습니다. 두 기술 모두 항공기 추진 기술을 다루지만 구체적인 구현은 다를 수 있습니다.
"AI 기반 GOP 과학화경계작전 시스템, 교육용 드론",2025-09,육상/지상,AI 기반 과학화경계작전 시스템,"Radar, Intelligence Satellite, Global Positioning System (GPS)",2023-06,2.2,data_match,high,"한국의 기술 'AI 기반 과학화경계작전 시스템'은 센서 및 감시 시스템이며, 미국 기술 '레이더, 정찰 위성, 글로벌 포지셔닝 시스템(GPS)'과 합리적으로 일치합니다. 두 기술 모두 감지, 모니터링 및 감시 기능을 포함하지만 구현 방식은 다를 수 있습니다."
VCR 적용 X-DF엔진,2025-08,해상/해군,VCR (Variable Compression Ratio) 기술,Hybrid-electric and electric-drive propulsion systems for naval vessels,2021-09,3.9,data_match,high,"한국의 VCR(가변 압축비) 기술은 해군/해양 응용 분야의 엔진 기술이며, 미국의 하이브리드 전기 및 전기 추진 시스템 기술은 해군/해양 응용 분야의 매칭 엔진 기술입니다."
나트륨 원자로,,기타,나트륨 원자로,Electric propulsion systems for naval vessels,2022-04,,data_match,high,"소듐 냉각 원자로는 고급 원자로 기술의 한 유형으로, 해군 선박용 전기 추진 시스템의 구성 요소 또는 하위 시스템으로 간주될 수 있습니다."
CIWS-II,2027-00,미사일/방공,AESA 레이다,SPY-1 ballistic missile defense radar,2023-05,3.6,data_match,high,"AESA 레이더는 레이더 시스템의 한 유형으로, SPY-1 탄도 미사일 방어 레이더와 일치합니다. 두 기술 모두 레이더 기술이지만 플랫폼(CIWS vs. 탄도 미사일 방어)이 다릅니다."
협력 전투 무인기(CCA),2025-06,항공/공군,협력 전투 무인기(CCA),Autonomous Collaborative Platform (ACP) - Second Generation Uncrewed Air Vehicle,2024-02,1.3,data_match,high,"한국의 'CCA'(Cooperative Combat Aircraft) 기술은 무인 항공기(UAV)의 한 유형으로, 미국의 '자율 협력 플랫폼(ACP)' 기술과 일치합니다. 두 기술 모두 항공/공군 분야에 속합니다."
플렉스로터 무인 항공 시스템(UAS),2025-06,해상/해군,플렉스로터 무인 항공 시스템(UAS),eVTOL (electric vertical take-off and landing) aircraft,2022-04,3.2,data_match,high,"한국의 'plexrotor UAS'는 무인 항공기(UAV)의 한 유형이며, 미국 기술의 eVTOL(전기 수직 이착륙) 항공기와 일치합니다. 두 기술 모두 항공 플랫폼이지만 한국 기술은 특히 UAV이고 미국 기술은 유/무인 eVTOL 항공기입니다."
Wing Sail,2023-06,해상/해군,Wind Sail,unmanned systems,2024-10,-1.3,data_match,high,한국의 '풍력 추진' 기술은 무인 시스템의 일종인 해군/해양 분야를 위한 친환경 선박 추진 시스템입니다. 미국 기술 목록에는 '무인 시스템'이 포함되어 있어 한국 기술과 잘 일치합니다.
우주 기반 ISR,,우주,우주 기반 ISR,RADAR,1922-09,,data_match,high,"한국의 핵심 기술인 '우주 기반 ISR'은 레이더 기술과 관련되어 있으며, 이는 미국 기술인 '레이더'에 해당됩니다. 두 기술 모두 '정보, 감시 및 정찰(ISR)' 분야에 속합니다."
고압 추진 드라이브,2027-01,해상/해군,고압 추진 드라이브,Gas turbine engine design and modification,2024-04,2.8,data_match,high,"한국의 '고압 추진 구동' 기술은 해군/해양 애플리케이션을 위한 전기 추진 시스템의 한 종류입니다. 이는 미국 기술인 '가스 터빈 엔진 설계 및 수정'과 일치하며, 이 또한 해군/해양 분야에서 사용되는 추진 시스템입니다."
6G 저궤도 통신위성,2030-06,우주,6G 저궤도 통신위성,Very Low Earth Orbit (VLEO) atmospheric physics experiment; Space Domain Awareness (SDA) system for cislunar space,2020-09,9.8,data_match,high,"한국의 저궤도 6G 통신 위성 기술은 우주 분야의 통신 시스템이며, 이는 미국의 VLEO 및 SDA 시스템과 유사한 우주 영역 인식 및 모니터링 기술입니다."
"초대형 암모니아운반선, LNG운반선, 맥티브(MCTIB) 연료탱크",2025-06,해상/해군,"초대형 암모니아운반선, LNG운반선, 맥티브(MCTIB) 연료탱크","Low Observable (LO) Stealth Technology, Naval Wideband Advanced Electronic Warfare (EW)",2025-07,-0.1,data_match,high,"한국의 초대형 암모니아 운반선, LNG 운반선, MCTIB 연료 탱크 핵심 기술은 조선 관련 기술이며, 이는 미국의 저 가시성(LO) 스텔스 기술 및 해군 광대역 첨단 전자전(EW) 기술과도 일치합니다."
정밀 용접 휴머노이드,2027-01,조선/해양,정밀 용접 휴머노이드,"Autonomous robotics, artificial intelligence, unmanned systems",2021-02,5.9,data_match,high,"한국의 '정밀 용접 휴머노이드' 기술은 로봇의 한 종류이며, 이는 미국의 '자율 로봇, 인공 지능, 무인 시스템' 기술과 일치합니다."
인공지능 기반 광자레이다 기술,2025-04,항공/공군,인공지능 기반 광자레이다 기술,AI-enabled tactical autonomy algorithm for autonomous air combat,2023-08,1.7,data_match,high,"한국의 'AI 기반 Lidar 레이더' 기술은 레이더 기술의 한 종류이며, 이는 미국의 '자율 공중 전투를 위한 AI 지원 전술 자율성 알고리즘' 기술과 일치할 수 있습니다. 둘 다 레이더/센서 애플리케이션에 AI를 활용하고 있습니다."
"무인수상정(USV), AI 함정 자율화 기술(Vessel Autonomy), 자율 임무 수행 체계(Mission Autonomy)",2025-04,해상/해군,"자율운항 기술, 자율 임무 수행 체계",Human-Autonomy Teaming (HAT) / Human-Robot Interaction (HRI),2020-10,4.5,data_match,high,한국의 '자율 임무 수행 시스템' 기술은 미국의 '인간-자율성 팀워크(HAT) / 인간-로봇 상호작용(HRI)' 기술과 관련이 있습니다. 이는 인간과 자율 시스템 간의 협력적 임무 수행을 가능하게 합니다.
"GEnx 엔진, GE9X 엔진",2025-03,항공/공군,엔진,Combustion science and propulsion systems,2024-03,1.0,data_match,high,"한국의 핵심 기술인 '엔진'은 미국의 '연소 과학 및 추진 시스템' 기술과 일치하며, 둘 다 엔진 및 추진 기술과 관련이 있습니다."
우주부품 표준화,2025-03,우주,우주부품 표준화,"photovoltaic lab, quantum information and sensing, silicon carbide power electronics, vacuum electronics",2016-12,8.2,data_match,high,"한국의 핵심 기술 '우주 구성요소 표준화'는 미국의 '첨단 재료 과학 및 구성요소 기술' 카테고리와 관련이 있습니다. 이 카테고리에는 광전지 실험실, 양자 정보 및 센싱, 전력 전자 등 우주 구성요소 개발 및 표준화에 관련된 기술이 포함되어 있습니다."
RISE(Revolutionizing Sustainable Engines) 프로그램,2050-06,항공/공군,RISE(Revolutionizing Sustainable Engines) 프로그램,Electric Vertical Takeoff and Landing (eVTOL) Aircraft,2023-04,27.2,data_match,high,"한국의 RISE (Revolutionizing Sustainable Engines) 프로그램은 항공기/항공엔진 기술에 초점을 맞추고 있으며, 이는 미국의 eVTOL (전기식 수직 이착륙) 항공기 기술과 일치합니다. 둘 다 첨단 항공엔진 및 추진 시스템과 관련이 있습니다."
수소엔진,2027-01,육상/지상,수소엔진,Hydrogen Engine,,,data_match,high,"한국의 방위 기술 '수소 엔진'은 미국의 '수소 엔진' 기술과 일치하는데, 둘 다 엔진 기술이기 때문입니다."
우주 전력,,우주,우주 전력,THAAD (Terminal High Altitude Area Defense) missile defense system,2017-03,,data_match,high,"한국의 핵심 기술 '우리의 우주 전력'은 우주 기반 무기 체계를 의미하며, 이는 미국의 THAAD 미사일 방어 시스템과 합리적으로 일치할 수 있습니다. THAAD는 우주 내에서 미사일을 요격할 수 있는 지상 기반 탄도 미사일 방어 시스템입니다."
상용위성 영상 활용,2025-01,우주,상용위성 영상 활용,Commercial Remote Sensing Satellites,2019-12,5.1,data_match,high,"한국 기술 '상용위성 영상 활용'은 원격 탐사 위성 기술의 한 유형으로, 미국의 상용 원격 탐사 위성 기술과 일치합니다."
잠수함용예인정-Ⅱ,2026-12,해상/해군,잠수함용예인정-Ⅱ,Torpedoes,,,data_match,high,"한국 기술 '잠수함용예인정-Ⅱ'는 잠수함용 견인 차량으로, 미국의 어뢰 기술과 합리적으로 관련이 있습니다."
액화수소 탱크 기술,2025-01,해상/해군,액화수소 탱크 기술,Hydrogen Small Unit Power (H-SUP) System - Portable Fuel Cell Electric Generator,2025-07,-0.5,data_match,high,"한국의 '액체 수소 탱크 기술'은 미국의 '수소 소형 장치 전원(H-SUP) 시스템'과 관련이 있습니다. H-SUP는 휴대용 연료 전지 전기 발전기입니다. 두 기술 모두 수소를 에너지원으로 사용하지만, 적용 분야(탱크 vs. 발전기)가 다릅니다."
개인전장가시화체계,2024-12,통신/전자,개인전장가시화체계,Artificial Intelligence for Multi-Domain Operations; Computational Neuroscience for Soldier Performance,2020-12,4.0,data_match,high,"한국의 '개인용 전장 가시화 시스템' 기술은 상황 인식 및 정보 처리와 관련될 수 있으며, 이는 다영역 작전을 위한 AI와 군 수행능력의 계산 신경과학 기술에 대한 미국 기술과 일치할 수 있습니다."
정찰용 무인수상정,2027-00,해상/해군,정찰용 무인수상정,eVTOL (electric vertical takeoff and landing) vehicles,2022-08,4.3,data_match,high,"한국의 '무인수상정' 기술은 무인 수상 차량의 한 유형으로, 미국의 eVTOL (전기식 수직 이착륙) 차량 기술과 유사할 수 있습니다. 둘 다 다른 영역(해상 vs. 항공)의 자율/무인 플랫폼 기술입니다."
F130 엔진,2024-12,항공/공군,F130 엔진,Multi-fuel hybrid-electric propulsion systems for unmanned vehicles,2020-10,4.2,data_match,high,"한국의 F130 엔진 기술은 항공기/항공 엔진의 한 유형으로, 미국의 무인 차량용 다연료 하이브리드 전기 추진 시스템 기술과 합리적으로 일치할 수 있습니다. 둘 다 항공우주/항공 애플리케이션을 위한 엔진 및 추진 기술과 관련이 있습니다."
RF 사이버 기술,,통신/전자,RF 사이버 기술,Artificial Intelligence,2020-02,,data_match,high,"한국의 핵심 기술 'RF 사이버 기술'은 사이버 보안과 관련이 있으며, 이는 미국 기술 목록의 인공 지능(AI) 분야에 해당합니다."
복합 전도성 잉크 기반의 차세대 부품소재,,통신/전자,복합 전도성 잉크 기반의 차세대 부품소재,Additive manufacturing,2025-02,,data_match,high,한국의 기술 '복합 전도성 잉크 기반 차세대 부품 및 소재'는 미국 기술로 나열된 적층 제조와 관련이 있습니다.
