chunk_id,clean_summary
0,['[파일: 02국감결과보고서.txt] 2002년도 국정감사결과보고서 2002. 10. 국 방 위 원 회 - 목 차 - 1. 감사목적 ························································ 1 2. 감사기간 ························································ 1 3. 감사실시대상기관 ············································ 1 4. 감사실시경과 ·················································· 2 가. 감사반 편성 ··························································· 2 나. 감사일정 ······························································· 3 다. 감사경과 ······························································· 4 5. 감사실시 주요내용 ··········································· 13 가. 국 방 부 ······························································· 13 나. 합동참모본부 ························································· 19 다. 국방부 조달본부 ····················································· 19 라. 육군본부 ······························································· 22 마. 해군본부 ······························································· 25 바. 공군본부 ······························································· 28 사. 육군 제2군 사령부 ·················································· 30 아. 공군작전사령부 ······················································ 32']
1,['자. 병 무 청 ······························································· 34 차. 국방과학연구소 ······················································ 35 카. 군인공제회 ···························································· 38 타. 방위산업체 ···························································· 39 (1) (주)삼성탈레스 ···················································· 39 (2) (주)한 화 ·························································· 41 6. 시정 및 처리요구사항 ······································ 43 가. 국 방 부 ······························································· 43 나. 국방부 조달본부 ····················································· 44 다. 육군본부 ······························································· 45 라. 해군본부 ······························································· 45 마. 공군본부 ······························································· 46 바. 육군 제2군 사령부 ·················································· 46 사. 공군작전사령부 ······················································ 47 아. 병무청 ·································································· 47 자. 국방과학연구소 ······················································ 48']
2,"['차. 군인공제회 ···························································· 48 1. 감 사 목 적 헌법 제61조, 국회법 제127조 및 국정감사및조사에관한법률에 따 라 국정감사를 실시함으로써 국방위원회 소관부처 국정운영의 실태 를 정확히 파악하여 입법활동 및 정책심의에 반영하고, 2002년도 예 산안의 효율적인 심사를 위한 제반자료 및 정보의 수집 ․ 획득을 목 적으로 함. 2. 감 사 기 간 2002년 9월 16일 ∼ 10월 5일(20일간) 3. 감사실시 대상기관 위원회 선정대상기관 본회의 승인대상기관 국 방 부 국군기무사령부, 국군정보사령부 병 무 청 국군의무사령부, 5679부대, 합동참모본부 국방부조달본부, 국방부군사편찬연구소 육 군 본 부 한국국방연구원, 국방과학연구소 해 군 본 부 군인공제회, 육군제2군사령부 공 군 본 부 육군교육사령부, 육군군수사령부 육군복지근무지원단, 해군군수사령부 공군작전사령부, 공군군수사령부 (주)삼성탈레스, (주)한화 - 1 - 4. 감 사 실 시 경 과 가. 감 사 반 편 성 감사위원(18인) 사무보조직원 위원장 장영달 (새천년민주당) 수석전문위원 김대훈 위 원 박세환 (한나라당) 전 문 위 원 김종환 〃 강삼재 〃 입법조사관 홍승구 〃 강창성 〃 〃 김현식 〃 강창희 〃 〃 조문상 〃 서청원 〃 행정주사 정미야 〃 이경재 〃 속 기 사 4인 〃 이상득 〃 〃 이연숙 〃 〃 하순봉 〃 교섭단체 정책연구위원 3인 〃 이낙연 (새천년민주당) 수행원 : 의원보좌관 18인 〃 김기재 〃 〃 박양수 〃 〃 이만섭 〃 〃 이용삼 〃 〃 천용택 〃 〃 최명헌 〃 〃 김종필 (비교섭단체) - 2 - 나. 감 사 일 정 일 시 대상 기관 장 소 동시감사기관 비 고 국군기무사령부 국군정보사령부 9.16(월) 국방부, 국군의무사령부 국방부 회의실 10:00 합동참모본부 5679부대 한국국방연구원 국방부군사편찬연구소 9.17(화) 국방부, 국방부 회의실 〃 10:00 합동참모본부 9.18(수) 병무청 서울병무청 회의실 10:00 9.19(목) 10:00 군인공제회 동회 회의실 9.23(월) ※감사자료정리 육군교육사령부 9.24(화) 육군본부 육군본부 회의실 육군군수사령부 ∙대전1박 10:00 육군복지근무지원단 9.25(수) 10:00 해군본부 해군본부 회의실 해군군수사령부 14:00 공군본부 공군본부 회의실 공군군수사령부 9.26(목)']"
3,"['10:00 육군제2군사령부 동사령부 회의실 ∙감사종료 후귀경 14:00 (주)삼성탈레스 동사 회의실 9.27(금) 국방부조달본부 조달본부 회의실 10:00 9.28(토) 9.30(월) 10:00 국방과학연구소 동연구소 회의실 14:00 (주)한 화 동사 회의실 ※종합감사자료 10.1(화) 정리 10.2(수) ※ 연평도해병 공군작전사령부 동사령부 회의실 10:00 부대시찰 10.4(금) 국방부(종합감사) 국방부 회의실 합동참모본부 10:00 - 3 - 다. 감 사 경 과 대상기관 일 시 감 사 경 과 비 고 (국감장소) 9. 16(월) 국 방 부 1. 감사개시 선언 및 위원장 인사 10:05∼ 합동참모본부 2. 선 서 18:30 국군기무사령부 ○국방부장관 이 준 국군정보사령부 ○합동참모의장 이남신 육군대장 국군의무사령부 ○국군기무사령관 문두식 육군중장 한국국방연구원 ○국군정보사령관 김군식 육군소장 국방부군사 ○국군의무사령관 허준평 육군소장 편찬연구소 ○5679부대장 한철용 육군소장 *국방부 ․ 합참 5679부대 ○국방부군사편찬연구소장 하재평 을 제외한 기 (국방부회의실) ○한국국방연구원장 황동준 관의 업무보고 3. 업무현황보고 는 서면으로 ○장관인사 및 간부소개 대체하기로 함. ○공개보고 -정책기획국장 김선규 육군소장 *병역사건과 관 련, 국군의무 ○비공개보고 사령관, 국방 - 합참 전략기획부장 김성만 부 법무관리관 해군소장 에 대한 질의 4. 질 의 및 답변이 있 ○일부 위원 서면질의 었음. 5. 부산아시아경기대회 관련 군사대 비태세에 대한 보고(비공개) ○합참 작전부장 김선홍 육군소장 6. 감사종료 - 4 - 대상기관 일 시 감 사 경 과 비 고 (국감장소) 9. 17(화) 국 방 부 1. 감사개시 선언 10:05∼ 합동참모본부 2. 9월 16일 질의에 대한 답변 18:30 국군기무사령부 ○국방부장관 이 준 국군정보사령부 ○합참의장 이남신 육군대장 국군의무사령부 ○국군의무사령관 허준평 육군소장 한국국방연구원 ○법무관리관 김창해 육군준장 국방부군사 3. 보충질의 편찬연구소 5679부대 4. 답 변 (국방부회의실) ○국방부장관 이 준 ○연합사 법무실장 이명현 육군중령 ○국방부 법무과장 고 석 육군대령 ○1군 법송과장 유관석 육군소령 ○연구개발관 신보현 공군소장 ○합참 정보본부장 권영재 육군중장 ○5679부대장 한철용 육군소장 ○국방부 군사편찬연구소장 하재평 5. 감사종료 - 5 - 대상기관']"
4,['일 시 감 사 경 과 비 고 (국감장소) 9. 18(수) 병 무 청 1. 감사개시 선언 및 위원장 인사 10:12∼ (서울청회의실) 2. 선 서 *김대업씨 방청 17:53 ○병무청장 강신육 허가신청과 관 3. 인사 및 간부소개 련 간사협의 4. 업무현황보고 결과 불허하기 ○기획관리관 임낙윤 로 함. 5. 질 의 ○일부위원 서면질의 6. 답 변 ○병무청장 강신육 ○서울지방병무청장 윤규혁 ○징모국장 박경규 7. 감사종료 선언 9. 19(목) 군인공제회 1. 감사개시 선언 및 위원장 인사 10:06∼ (군인공제회 2. 선 서 12:36 회의실) ○군인공제회 이사장 이청남 3. 인사 및 간부소개 4. 업무현황보고 ○군인공제회 이사장 이청남 5. 질 의 ○일부위원 서면질의 6. 답 변 ○군인공제회 이사장 이청남 ○금융투자본부장 최정락 7. 감사종료 선언 - 6 - 대상기관 일 시 감 사 경 과 비 고 (국감장소) 9. 24(화) 육 군 본 부 1. 감사개시 선언 및 위원장 인사 11:18∼ 육군군수사령부 2. 선 서 18:37 육군교육사령부 ○참모총장 김판규 대장 육군복지근무 ○군수사령관 정중민 중장 *육군본부를 제 지원단 ○교육사령관 유해근 중장 외한 기관의 (육군본부회의실) ○복지근무지원단장 이웅희 준장 보고는 유인물 3. 인사 및 간부소개 로 대체하기로 4. 업무현황보고(일부 비공개) 함. ○기획관리참모부장 김관진 소장 5. 질 의 ○일부위원 서면질의 6. 답 변(일부 비공개) ○참모총장 김판규 대장 ○군수사령관 정중민중장 ○복지근무지원단장 이웅희준장 7. 감사종료 선언 - 7 - 대상기관 일 시 감 사 경 과 비 고 (국감장소) 1. 감사개시 선언 및 위원장 인사 9. 25(수) 해 군 본 부 10:02∼ 해군군수사령부 2. 선 서 14:46 (해군본부회의실) ○참모총장 장정길 대장 *해군본부를 제 ○군수사령관 한광수 소장 외한 기관의 3. 인사 및 간부소개 보고는 유인물 4. 업무현황보고(일부 비공개) 로 대체하기로 ○기획관리참모부장 윤 연 소장 함. 5. 질 의 ○일부위원 서면질의 6. 답 변(일부 비공개) ○참모총장 장정길 대장 ○군수참모부장 이상필 소장 ○인사참모부장 박인용 소장 ○정보작전참모부장 박정성 소장 7. 감사종료 선언 9. 25(수) 공 군 본 부 1. 감사개시 선언 및 위원장 인사 *공군본부를 제 15:01∼ 공군군수사령부 2. 선 서 외한 기관의']
5,['18:21 (공군본부회의실) ○참모총장 김대욱 대장 보고는 유인물 ○군수사령관 장영수 소장 로 대체하기로 3. 인사 및 간부소개 함. 4. 업무현황보고 ○기획관리참모부장 김성일 소장 5. 질 의 ○일부위원 서면질의 6. 답 변 ○참모총장 김대욱 대장 7. 감사종료 선언 - 8 - 대상기관 일 시 감 사 경 과 비 고 (국감장소) 1. 감사개시 선언 및 위원장 인사 9. 26(목) 육군제2군사령부 2. 선 서 10:23∼ (동사령부회의실) 14:12 ○육군제2군사령관 홍순호 대장 3. 인사 및 간부소개 4. 업무현황 보고(일부 비공개) ○2군사령부참모장 김상조 소장 5. 질 의 ○일부위원 서면질의 6. 답 변(일부 비공개) ○육군제2군사령관 홍순호 대장 ○2군 동원처장 배광용 준장 7. 감사종료 9. 26(목) (주)삼성탈레스 1. 감사개시 선언 및 위원장 인사 15:30∼ 2. 선 서 (동사 회의실) *질의종료후 제 17:28 ○(주)삼성탈레스대표이사 박태진 작공장에 대한 3. 인사 및 간부소개 현장시찰이 있 ○(주)삼성탈레스대표이사 박태진 었음. 4. 업무현황 보고 ○(주)삼성탈레스대표이사 박태진 5. 질 의 ○일부위원 서면질의 6. 답 변 ○(주)삼성탈레스대표이사 박태진 ○해상영업팀 상무 배준태 7. 감사종료 - 9 - 대상기관 일 시 감 사 경 과 비 고 (국감장소) 9. 27(금) 국방부조달본부 1. 감사개시 선언 및 위원장 인사 10:03∼ (조달본부회의실) 2. 선 서 15:35 ○조달본부장 성유경 육군소장 3. 인사 및 간부소개 4. 업무현황보고 ○조달본부장 성유경 육군소장 5. 질 의 ○일부위원 서면질의 6. 답 변 ○조달본부장 성유경 육군소장 ○외자부장 김용환 육군준장 ○시설부장 박동일 육군준장 7. 감사종료 선언 9. 30(월) 국방과학연구소 1. 감사개시 선언 및 위원장 인사 11:00∼ (동연구소회의실) 2. 선 서 *공개보고는 서 14:46 ○국방과학연구소장 박용득 면으로 대체하 3. 인사 및 간부소개 기로 함. 4. 업무현황보고(비공개) ○국방과학연구소장 박용득 5. 질 의 ○일부위원 서면질의 6. 답 변 ○국방과학연구소장 박용득 7. 감사종료 - 10 - 대상기관 일 시 감 사 경 과 비 고 (국감장소) 9. 30(월) (주)한 화 1. 감사개시 선언 및 위원장 인사 15:18∼ (동사 회의실) 2. 선 서 *질의종료후 제 18:35 ○(주)한화 대표이사 이순종 작공장에 대한']
6,"['3. 인사 및 간부소개 현장시찰이 있 4. 업무현황보고 었음. ○(주)한화 대표이사 이순종 5. 질 의 ○일부위원 서면질의 6. 답 변 ○(주)한화 대표이사 이순종 7. 감사종료 10. 2(수) 공군작전사령부 1. 감사개시 선언 및 위원장 인사 10:13∼ (동사령부회의실) 2. 선 서 *질의종료후 전 15:42 ○공군작전사령관 이한호 중장 투작전정보본 3. 인사 및 간부소개 부(KCOIC), 전 4. 업무현황보고(일부 비공개) 구항공통제본 ○참모장 이영종 준장 부(MCRC), 패 5. 질 의 트리어트 포대 ○일부위원 서면질의 전시현장 등에 6. 답 변(일부 비공개) 대한 현장감사 ○공군작전사령관 이한호 중장 가 있었음. ○작전부장 고덕천 대령 7. 감사종료 - 11 - 대상기관 일 시 감 사 경 과 비 고 (국감장소) 10. 4(금) 국방부 1. 감사개시 선언 및 위원장 인사 *비공개감사 10:14∼ 합동참모본부 2. 질 의 (11:23∼11:47) 20:50 (국방부회의실) ○일부위원 서면질의 -박세환위원 3. 답 변 질의에 대한 5679부대장의 ○국방부장관 이 준 답변도중국방 ○합참의장 이남신육군대장 부장관의 요 ○해군참모총장 장정길대장 청에 의해 비 ○국군기무사령관 문두식육군중장 공개감사진행 ○5679부대장 한철용육군소장 ○조달본부장 성유경육군소장 *일반참고인 ○국방부법무과장 고 석육군대령 -휴전선고엽제 피해자 ○연합사법무실장 이명현육군중령 (윤창락, 장기옥, ○1군법송과장 유관석육군소령 이능구) ○국방품질관리소장 이원형 4. 감사종료 선언 - 12 - 5. 감사실시 주요내용 가. 국 방 부 ○ 12월 대선과 관련 북한 개입설에 대한 장관의 견해 ○ 현 정부의 대북정책에 대한 장관의 견해 ○ 지휘용 헬기사업(VH-X) 추진을 재고할 용의 ○ CN-235 수송기 도입과 관련 인도네시아의 대응구매에 따른 우리 측의 수출품 가격이 고가인 이유 ○ 국방부의 지역별 ․ 출신별 편중인사 의혹에 대한 국방부의 입장과 향후 대책 ○ 허원근 일병 사망사건과 같은 유사사례의 존재여부 및 재발 방지 대책 ○ 6 ․ 29 서해교전에 대한 평가 및 재발 방지 대책 ○ 국방예산의 적정 규모에 대한 장관의 견해 ○ 과다 보유하고 있는 미국의 동맹국전쟁예비물자(WRSA) 탄약의 정비 방안 ○ 군내 전시대비 탄약 비축량 부족 문제에 대한 대책 ○ F-15K 선정에 따른 후속 군수지원의 원활화 대책 ○ 독자적인 무기체계 개발 대책']"
7,"['○ 군내 사망사건 조사의 투명성 ․ 신뢰성 확보 방안 ○ 21C 국방전략의 기조에 대한 장관의 견해 ○ 국방예산 감소추세에 대한 대책 - 13 - ○ 군 정보전력의 강화 방안 ○ 국방관련 정보공개 확대 방안 ○ 무기획득 전문가 현황 및 체계적인 양성 방안 ○ 장기간 소요되는 무기획득 기간을 합리적으로 단축할 용의 ○ 군내 주파수 부족 문제에 대한 대책 ○ 경의선 철도복원 사업과 관련 북한에 대한 지뢰제거장비 지원 계획 ○ 국방부 산하 위원회의 저조한 여성위원 참여비율 확대 방안 ○ 여학생의 ROTC 입단 허용에 대한 국방부의 입장 ○ 여군학교 폐지 방침을 신중히 재검토할 용의 및 창설 예정인 여군 발전단의 목적 ․ 운영의 내실화 방안 ○ 군 숙소 개선사업의 추진 실적 및 향후 계획 ○ 낙후된 병영시설의 현대화 방안 ○ 사병 복제 개정에 대한 국방부의 입장 ○ 무관의 전문성 제고 방안 ○ 무분별하게 운영되고 있는 군 폐기물 처리시설에 대한 관리 대책 ○ 군내 사이버전 수행조직의 현황 및 향후 계획 ○ 대민지원 활동을 작전 개념으로 변경하여 군이 주도적으로 추진할 용의 ○ 정보체계 문서상 용어 및 개념의 통일 필요성에 대한 국방부의 입장 ○ 국방 무기 ․ 정보체계의 상호 운용성 확보 방안 - 14 - ○ 국방정보통신망 보호 대책 ○ 평시 위주의 탄약 정보체계를 전시관련 업무까지 포괄하여 확대 ․ 보 관할 용의 ○ 낙후된 장병 보급물자(전투화, 모포 등)의 품질 개선 방안 ○ 지뢰제거 작전용 전투화 구매사업의 투명성 ․ 공정성 확보 방안 ○ 낙후된 군 의료장비 및 의료시설의 개선 방안 ○ 중장이상 장관급 장교의 계급 정년제에 대한 장관의 견해 ○ 군 체력단련장의 과다한 민간인 이용률 감소 대책 ○ 군의관의 민간병원 불법 진료행위에 대한 근절 대책 ○ 군부대 급수의 수질 개선 방안 ○ 폐쇄하기로 합의한 주한 미군의 노후 송유관 계속 사용에 대한 대책 ○ 정치로부터 군의 중립성 확보 방안 ○ 전역군인 직업보도 교육의 내실화 방안 ○ 국방개혁의 추진성과와 이에 대한 평가 및 보류된 개혁과제의 향 후 추진 계획 ○ 북한의 금강산댐 2단계 공사 추진과 관련 국방부의 대책 ○ 휴전선 고엽제 피해 관련 보상이 부진한 이유 및 향후 대책 ○ 군내 PC 보급에 따른 보안 유출 문제에 대한 대책 ○ 전방지역에 집중된 군사시설 보호구역을 합리적으로 조정할 용의 ○ 연천 한탄강댐 건립 계획에 군이 동의한 이유 및 향후 대책 - 15 -']"
8,"[""○ 사격장 주변 생활환경 피해에 대한 대책 ○ 여군의 처우개선 방안 ○ 군인연금법 개정에 대한 국방부의 입장 ○ 국방백서 발간 예정 시기에 대한 국방부의 입장 ○ 최근 간첩검거 실적이 저조한 이유 ○ 연합토지관리계획(LPP)에 따른 전방 미군기지의 이전이 우리 안보에 미치는 영향 ○ 6 ․ 25 전사자 유해 발굴사업이 '03년까지 한시적으로 추진된 이유 및 향후 계획 ○ 최근 잇따른 방산업체의 안전사고 발생 이유 및 재발 방지 대책 ○ 제2롯데월드 건축 계획이 군 작전에 미치는 영향 및 이에 대한 국 방부의 입장 ○ 군의 영상정보획득 강화 방안 ○ 군 정찰위성사업 추진을 재고할 용의 ○ 유명무실하게 운영되고 있는 국방부 산하 각종 위원회의 내실화 방안 ○ 국방부의 장애인 고용율이 저조한 이유 및 향후 증대 방안 ○ 고위공직자 병역실명제 제도운영의 문제점 및 보완 대책 ○ 각군 전력투자 예산의 통합화 및 이를 제도베이스에서 재검토할 용의 ○ 현역병이 휴가 ․ 외출 ․ 외박기간중 민간병원에서 진료 받을 경우 - 16 - 건강보험을 적용할 필요성에 대한 국방부의 입장 ○ 군용모포 납품관련 업체와의 유착의혹에 대한 국방부의 입장 ○ 국방예산의 GDP대비 3% 확보 방안 ○ 3군간 균형발전을 위한 국방예산의 효율적 관리방안 ○ 남 ․ 북국방장관 회담 재개를 조속히 추진할 용의 ○ 북한의 핵무기 보유가능성에 대한 국방부의 입장 ○ 대북정보 수집의 정확성 ․ 신뢰성 제고 방안 ○ 서해교전 관련 대북정보지원의 혼선 의혹에 대한 국방부의 입장 ○ 민 ․ 군간의 갈등을 완화하기 위한 종합 대책 ○ 군숙소 개선사업 관련 예산의 효율성 저하 이유 및 보완 대책 ○ 군 무단점유 사유지 정리예산을 목적외로 사용한 이유 및 재발 방 지 대책 ○ 효율성이 저하되고 낙후된 전력무기의 처리 계획 ○ 대규모 탈북난민 발생에 대한 종합 대책 ○ 군사시설과 관련한 종합적인 토지사용 계획 ○ 방산물자 수출확대를 위한 국방부의 지원 방안 ○ 주5일 근무제 실시가 군의 경계태세에 미치는 영향 및 이에 대한 대책 ○ 북한의 유전개발 여부에 대한 국방부의 입장 ○ 국군체육부대 해체 방침을 재고할 용의 - 17 - ○ 국군포로 송환대책 ○ 국방부 과장보직에 여성이 없는 이유 및 향후 계획 ○ 급여를 압류당하고 있는 직업군인에 대한 관리 대책 ○ 연합토지관리계획에 의해 반환받는 주한미군 공여지에 대한 환경 오염조사 계획""]"
9,['○ 군의 무분별한 폐기탄약 처리로 인한 환경오염 방지 대책 ○ 군내 전염병환자 증가에 대한 대책 ○ 자격기준에 미달되는 군병원 입원환자를 환자도우미로 활용하고 있는 문제에 대한 국방부의 대책 ○ 급속히 추진된 생물학 정찰차 사업의 타당성에 대한 입장 및 납품 된 정찰차의 성능오류에 대한 대책 ○ 전방근무 장교 ․ 부사관 ․ 사병 및 군인 자녀들을 위해 군내 대학과 정을 설치할 용의 ○ 제2차 불곰사업의 문제점 및 향후 추진 계획 ○ 근무지 관계로 인하여 별거중인 부부군인에 대한 관리 방안 ○ 정량제 외출 ․ 외박제도를 폐지하고 이를 부대 자율적으로 시행할 용의 ○ 비리 의혹이 있다는 언론의 보도내용과 관련 법무관리관에 대해 특별감사를 실시할 용의 ○ 근절되지 않고 있는 구타나 가혹행위에 대한 실효성 있는 예방 대 - 18 - 책 마련 ○ 체력단련장의 농약사용 최소화 방안 수립과 농약사용량 조사와 농 약잔류량 검사를 민간골프장 기준에 맞게 실시할 용의 나. 합동참모본부 ○ 전시 작전통제권 환수에 대한 대비 필요성 및 작전통제권의 원활 한 이양 등을 위한 연합 연습의 실태 ○ 우리의 전략적 환경하에서 탄도탄 요격용 미사일(TBMD)의 필요 성 여부 및 KDX-Ⅲ에 탄도탄 요격용 미사일을 장착해야 할 작전 적 필요성 여부 ○ 송도 신도시 지역에 대한 철조망 설치 필요성 여부 및 강화도 철 잭선의 유지 필요성 여부 ○ 합참 홈페이지에 북한관련 자료를 게시하고 있는 이유 및 향후 대책 다. 국방부 조달본부 ○ 일반품목중 수의계약 품목과 액수 및 수의계약의 근거 등에 대한 현황 ○ 조달본부내 여군무원의 보직현황 및 사기제고 방안 ○ 조달본부 간부직위에 특정군 출신 편중인사 의혹에 대한 대책 - 19 - ○ 항공유 고가 납품과 관련 정유사를 상대로 한 손해배상소송이 지 연되고 있는 이유 및 향후 대책 ○ 무기거래 Agent의 자격 기준 제한 필요성에 대한 입장 ○ 원가계산의 신뢰성 ․ 투명성 확보 방안 ○ 조달본부가 시행하고 있는 청렴계약제의 현황 및 제도화 필요성에 대한 입장 ○ FMS 계약이행 보증금의 축소 필요성에 대한 조달본부의 입장 ○ 군사장비용 부품 사기납품 사건의 발생 이유 및 재발 방지 대책 ○ 군납비리업체에 대한 조사 및 제재기간 중 비리관련 업체와 신규 계약을 체결한 이유 ○ 대규모 환차손 발생에 대한 대책 ○ F-15K 구매 관련 절충교역이 부진한 이유 및 보잉사의 계약위반 에 대한 대책']
