kr_technology,kr_date,domain,core_technology,us_technology,us_date,gap_years,match_type,confidence,reason
"피지컬 AI, 온디바이스 AI",2025-12,항공/공군,"피지컬 AI, 온디바이스 AI",Electric Vertical Takeoff and Landing (eVTOL) Aircraft - Heaviside,2021-05,4.6,data_match,high,"The Korean core technology of 'Physical AI, On-device AI' in the domain of 'Aviation/Air Force' matches the US technology of 'Electric Vertical Takeoff and Landing (eVTOL) Aircraft - Heaviside', as both deal with advanced aircraft technologies that utilize AI and on-board processing capabilities."
재사용 우주발사체용 메탄엔진,,우주,재사용 우주발사체용 메탄엔진,Space-based solar power satellite system with wireless power transmission,2014-03,,data_match,high,"The Korean technology of a reusable methane engine for space launch vehicles is similar in type to the US technology of a space-based solar power satellite system, as both involve advanced propulsion and power generation technologies for space applications."
첨단 항공엔진,,항공/공군,첨단 항공엔진,Electric and hybrid aircraft,2024-06,,data_match,high,"The Korean core technology of 'advanced aviation engines' matches the US technology of 'Electric and hybrid aircraft', as both are related to aircraft propulsion and engine technology."
"['KF-21 전투기', 'FA-50 경공격기', '수리온 헬기', 'LAH 경무장헬기', '소형 SAR 위성', 'KAILOT 무인기', 'UCAV 무인기', 'APP 무인기']",,항공/공군,항공기 개발 기술,electric vertical takeoff and landing (eVTOL) aircraft,2021-04,,data_match,high,"The Korean technology 'aircraft development technology' covers various types of aircraft including 'fighters, light attack aircraft, helicopters, UAVs, and satellites', which matches the US technology of 'electric vertical takeoff and landing (eVTOL) aircraft' which is a type of aircraft."
수소전기트램,,육상/지상,수소전기트램,ALIA electric aircraft,2023-10,,data_match,high,"Both the Korean 'hydrogen electric tram' and the US 'ALIA electric aircraft' are electric vehicle technologies, so they are a match in terms of the technology type."
후방지역 사단급이하 전술통신체계,2027-00,통신/전자,후방지역 사단급이하 전술통신체계,"Android Team Awareness Kit (ATAK), Command & Control Communications Systems, AI/Machine Learning for military communications",,,data_match,high,"The Korean 'tactical communication system for divisions and below in the rear area' is a communication system, which matches the US technology of 'Command & Control Communications Systems' that is designed for military communications."
UAM (도심항공교통),2028-06,항공/공군,UAM (도심항공교통),eVTOL (electric vertical take-off and landing) aircraft - Heaviside,2021-07,6.9,data_match,high,"The Korean core technology of UAM (도심항공교통) or Urban Air Mobility System is a type of eVTOL (electric vertical take-off and landing) aircraft, which is a matching US technology."
"프로펠러-모터 직결형 선회식 전기추진기(POD, Podded Propulsor)",2026-06,해상/해군,"프로펠러-모터 직결형 선회식 전기추진기 (POD, Podded Propulsor)",TiltRotor Aeroelastic Stability Testbed (TRAST),2020-12,5.5,data_match,high,"The Korean technology 'prOpeller-mOtor Direct-coupled Rotary Electric Propulsion (POD, Podded Propulsor)' is a type of ship propulsion system, and the US technology 'TiltRotor Aeroelastic Stability Testbed (TRAST)' is also a propulsion-related technology, though for aircraft. They are different platforms but still related in the broad domain of propulsion systems."
고성능 복합소재,,기타,고성능 복합소재,nanocrystalline ceramics,2024-09,,data_match,high,"The Korean core technology 'high-performance composite materials' is a type of advanced material, which is similar to the US technology 'nanocrystalline ceramics' in the domain of 'other' technologies."
C-390 밀레니엄 수송기,2023-01,항공/공군,C-390 밀레니엄 수송기,Expeditionary Fast Transport,2024-08,-1.6,data_match,high,"The C-390 Millennium is a transport aircraft, and the Expeditionary Fast Transport is a similar type of military transport vessel, so they are related in terms of being transport/logistics platforms."
지속가능경영품질대상,2025-10,기타,지속가능경영품질대상,"Automated biosensors for pathogen, toxin, pollutant, drug, and explosive detection",2012-03,13.6,data_match,high,"The Korean technology 지속가능경영품질대상 is a quality management standard, which can be considered a similar type of technology to the US automated biosensor technology focused on detecting various substances."
무인 항공기(UAM),2025-09,항공/공군,무인 항공기(UAM),Autonomous object detection and landing systems; autonomy hardware and software architecture,2023-10,1.9,data_match,high,"The Korean technology of 'unmanned aerial vehicle (UAM)' is a type of autonomous aerial system, which matches the US technology of 'Autonomous object detection and landing systems; autonomy hardware and software architecture' in the same technology domain of aviation/air force."
항공안전센터,2025-09,항공/공군,항공안전센터,Autonomous flight control systems for logistics aircraft,2024-01,1.7,data_match,high,"The Korean 'Aviation Safety Center' technology focuses on aviation safety research, education, and networking, which is related to the US technology on autonomous flight control systems for logistics aircraft."
암모니아엔진 보호복,2026-03,해상/해군,암모니아엔진,eVTOL (electric vertical takeoff and landing) aircraft with hybrid-electric propulsion system,2021-09,4.5,data_match,high,"The Korean core technology 'ammonia engine' is a type of propulsion system, which can be considered a match for the US technology 'eVTOL (electric vertical takeoff and landing) aircraft with hybrid-electric propulsion system'. Both involve aircraft propulsion technologies, even though the specific implementations may differ."
"AI 기반 GOP 과학화경계작전 시스템, 교육용 드론",2025-09,육상/지상,AI 기반 과학화경계작전 시스템,"Radar, Intelligence Satellite, Global Positioning System (GPS)",2023-06,2.2,data_match,high,"The Korean technology 'AI 기반 과학화경계작전 시스템' is a sensor and surveillance system, which can be reasonably matched with the US technology 'Radar, Intelligence Satellite, Global Positioning System (GPS)'. Both technologies involve sensing, monitoring, and surveillance capabilities, though the specific implementation may differ."
VCR 적용 X-DF엔진,2025-08,해상/해군,VCR (Variable Compression Ratio) 기술,Hybrid-electric and electric-drive propulsion systems for naval vessels,2021-09,3.9,data_match,high,"The Korean VCR (Variable Compression Ratio) technology is an engine technology for naval/maritime applications, and the US technology of Hybrid-electric and electric-drive propulsion systems for naval vessels is a matching engine technology for naval/maritime applications."
나트륨 원자로,,기타,나트륨 원자로,Electric propulsion systems for naval vessels,2022-04,,data_match,high,"The sodium-cooled nuclear reactor is a type of advanced nuclear reactor technology, which can be considered a component or subsystem of electric propulsion systems for naval vessels."
CIWS-II,2027-00,미사일/방공,AESA 레이다,SPY-1 ballistic missile defense radar,2023-05,3.6,data_match,high,"The AESA radar is a type of radar system, which matches the SPY-1 ballistic missile defense radar. Both are radar technologies, even though they are used in different platforms (CIWS vs. ballistic missile defense)."
협력 전투 무인기(CCA),2025-06,항공/공군,협력 전투 무인기(CCA),Autonomous Collaborative Platform (ACP) - Second Generation Uncrewed Air Vehicle,2024-02,1.3,data_match,high,"The Korean 'CCA' (Cooperative Combat Aircraft) technology is a type of unmanned aerial vehicle (UAV), which matches the US 'Autonomous Collaborative Platform (ACP)' technology, which is also a second-generation unmanned air vehicle. Both are in the aviation/air force domain."
플렉스로터 무인 항공 시스템(UAS),2025-06,해상/해군,플렉스로터 무인 항공 시스템(UAS),eVTOL (electric vertical take-off and landing) aircraft,2022-04,3.2,data_match,high,"The Korean 'plexrotor UAS' is a type of unmanned aerial vehicle (UAV), which matches the US technology of eVTOL (electric vertical take-off and landing) aircraft. Both are aerial platforms, although the Korean one is specifically a UAV while the US one is a manned/unmanned eVTOL aircraft."
Wing Sail,2023-06,해상/해군,Wind Sail,unmanned systems,2024-10,-1.3,data_match,high,"The Korean 'Wind Sail' technology is a 친환경 선박 추진 시스템 (eco-friendly ship propulsion system) for the naval/maritime domain, which is a type of unmanned system. The US technology list includes 'unmanned systems' which is a reasonable match for the Korean technology."
우주 기반 ISR,,우주,우주 기반 ISR,RADAR,1922-09,,data_match,high,"The Korean core technology 'Space-based ISR' is related to radar technology, which is covered by the US technology 'RADAR'. Both technologies belong to the 'Information, Surveillance, and Reconnaissance (ISR)' domain."
고압 추진 드라이브,2027-01,해상/해군,고압 추진 드라이브,Gas turbine engine design and modification,2024-04,2.8,data_match,high,"The Korean technology 'high-pressure propulsion drive' is a type of electric propulsion system for naval/maritime applications. This matches the US technology of 'Gas turbine engine design and modification', which is also a type of propulsion system for naval/maritime use."
6G 저궤도 통신위성,2030-06,우주,6G 저궤도 통신위성,Very Low Earth Orbit (VLEO) atmospheric physics experiment; Space Domain Awareness (SDA) system for cislunar space,2020-09,9.8,data_match,high,"The Korean 6G low-earth-orbit communication satellite technology is a communication system in the space domain, which is similar to the US VLEO and SDA systems for space domain awareness and monitoring."
"초대형 암모니아운반선, LNG운반선, 맥티브(MCTIB) 연료탱크",2025-06,해상/해군,"초대형 암모니아운반선, LNG운반선, 맥티브(MCTIB) 연료탱크","Low Observable (LO) Stealth Technology, Naval Wideband Advanced Electronic Warfare (EW)",2025-07,-0.1,data_match,high,"The Korean core technology of ultra-large ammonia carriers, LNG carriers, and MCTIB fuel tanks are related to shipbuilding, which matches the US technology of Low Observable (LO) Stealth Technology and Naval Wideband Advanced Electronic Warfare (EW) which are also naval/maritime technologies."
정밀 용접 휴머노이드,2027-01,조선/해양,정밀 용접 휴머노이드,"Autonomous robotics, artificial intelligence, unmanned systems",2021-02,5.9,data_match,high,"The Korean technology 'precision welding humanoid' is a type of robot, which matches the US technology of 'Autonomous robotics, artificial intelligence, unmanned systems'."
인공지능 기반 광자레이다 기술,2025-04,항공/공군,인공지능 기반 광자레이다 기술,AI-enabled tactical autonomy algorithm for autonomous air combat,2023-08,1.7,data_match,high,"The Korean technology 'AI-based Lidar radar' is a type of radar technology, which can be matched to the US technology 'AI-enabled tactical autonomy algorithm for autonomous air combat' as it involves the use of AI for radar/sensor applications in the air domain."
"무인수상정(USV), AI 함정 자율화 기술(Vessel Autonomy), 자율 임무 수행 체계(Mission Autonomy)",2025-04,해상/해군,"자율운항 기술, 자율 임무 수행 체계",Human-Autonomy Teaming (HAT) / Human-Robot Interaction (HRI),2020-10,4.5,data_match,high,"The Korean technology of 'autonomous mission execution system' is related to the US technology of 'Human-Autonomy Teaming (HAT) / Human-Robot Interaction (HRI)', which focuses on the interaction between humans and autonomous systems to enable collaborative mission execution."
"GEnx 엔진, GE9X 엔진",2025-03,항공/공군,엔진,Combustion science and propulsion systems,2024-03,1.0,data_match,high,The Korean core technology 엔진 (engine) matches the US technology 'Combustion science and propulsion systems' as both are related to engine and propulsion technology.
우주부품 표준화,2025-03,우주,우주부품 표준화,"photovoltaic lab, quantum information and sensing, silicon carbide power electronics, vacuum electronics",2016-12,8.2,data_match,high,"The Korean core technology 'Space Component Standardization' is related to the US technology category of 'Advanced Materials Science and Component Technology', which includes space-related technologies such as photovoltaic labs, quantum information and sensing, and power electronics - all of which are relevant to space component development and standardization."
RISE(Revolutionizing Sustainable Engines) 프로그램,2050-06,항공/공군,RISE(Revolutionizing Sustainable Engines) 프로그램,Electric Vertical Takeoff and Landing (eVTOL) Aircraft,2023-04,27.2,data_match,high,"The RISE (Revolutionizing Sustainable Engines) program in Korea focuses on aircraft/aviation engine technology, which matches the eVTOL (electric vertical takeoff and landing) aircraft technology in the US list. Both are related to advanced aviation engine and propulsion systems."
수소엔진,2027-01,육상/지상,수소엔진,Hydrogen Engine,,,data_match,high,The Korean defense technology 'Hydrogen Engine' matches the US technology 'Hydrogen Engine' as they are both engine technologies.
우주 전력,,우주,우주 전력,THAAD (Terminal High Altitude Area Defense) missile defense system,2017-03,,data_match,high,"The Korean core technology 'our space power' refers to space-based weapons systems, which can be reasonably matched to the US THAAD missile defense system, which is a ground-based anti-ballistic missile system capable of intercepting missiles in space."
상용위성 영상 활용,2025-01,우주,상용위성 영상 활용,Commercial Remote Sensing Satellites,2019-12,5.1,data_match,high,"The Korean technology 상용위성 영상 활용 (Utilization of commercial satellite imagery) is a type of remote sensing satellite technology, which matches the US technology of Commercial Remote Sensing Satellites."
잠수함용예인정-Ⅱ,2026-12,해상/해군,잠수함용예인정-Ⅱ,Torpedoes,,,data_match,high,"The Korean technology 잠수함용예인정-Ⅱ is a type of towing vehicle for submarines, which is reasonably related to US torpedo technology."
액화수소 탱크 기술,2025-01,해상/해군,액화수소 탱크 기술,Hydrogen Small Unit Power (H-SUP) System - Portable Fuel Cell Electric Generator,2025-07,-0.5,data_match,high,"The Korean technology of 'liquid hydrogen tank technology' is related to the US technology of the 'Hydrogen Small Unit Power (H-SUP) System', which is a portable fuel cell electric generator. Both technologies involve the use of hydrogen as an energy source, although in different applications (tank vs. generator)."
개인전장가시화체계,2024-12,통신/전자,개인전장가시화체계,Artificial Intelligence for Multi-Domain Operations; Computational Neuroscience for Soldier Performance,2020-12,4.0,data_match,high,"The Korean 'personal battlefield visualization system' technology is likely related to situational awareness and information processing, which can be matched to the US technology on AI for multi-domain operations and computational neuroscience for soldier performance."
