kr_technology,kr_date,us_technology,us_date,gap_years,confidence,reason
1MW급 빌딩용 직류배전 설비,2023-04,400Hz Aircraft Power Lightcart (400 APL),2024-01,-0.8,high,"The Korean technology of 1MW-class DC power distribution equipment for buildings is directly equivalent to the US 400Hz Aircraft Power Lightcart (400 APL) system, which provides high-power DC electrical distribution for aircraft systems."
25cm 초고해상도 첨단 레이다 위성,2024-03,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,4.4,high,The Korean technology '25cm 초고해상도 첨단 레이다 위성' appears to be equivalent to the US technology 'AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS)' which is a high-resolution advanced radar system for air and missile defense.
2Ku 서비스,2025,400Hz Aircraft Power Lightcart (400 APL),2024-01,1.4,high,"The 2Ku 서비스 (2Ku Service) from Korea appears to be equivalent to the 400Hz Aircraft Power Lightcart (400 APL) from the US, as both technologies provide electrical power for aircraft operations."
3D 디지털 설계 (3D EXPERIENCE) 플랫폼,2021-10,3D Printing / Additive Manufacturing,2018-03,3.6,high,The Korean 3D digital design (3D EXPERIENCE) platform is directly equivalent to the US 3D printing and additive manufacturing capabilities.
6G RIS 유리,,3D Photonic Crystals / Optical Photonic Circuits,2020-09,,high,"The Korean technology '6G RIS 유리' appears to be referring to 6G wireless technology that utilizes reconfigurable intelligent surfaces (RIS), which can be implemented using photonic crystals and optical photonic circuits. This US technology is a direct match for the Korean technology."
6G 저궤도 통신위성,2030,5G Network (Dynamic Spectrum Utilization),2021-12,8.5,high,"The Korean technology '6G 저궤도 통신위성' (6G Low Earth Orbit Communications Satellite) is related to 5G and 6G network technologies, which the US has been actively developing and deploying."
9mm SMART 권총,2020-,ALIS (Autonomic Logistics Information System),2014-02,,high,"The ALIS system is a logistics information system that supports the F-35 fighter aircraft, which provides similar capabilities to the 9mm SMART 권총 Korean technology."
A350-1000 항공기,2022-02,A330neo aircraft engines and wing design,2023-11,-1.8,high,"The A350-1000 aircraft is a wide-body airliner developed by Airbus, which is similar in capability and design to the A330neo aircraft developed by the US Boeing company."
A400M 다목적 수송기,2013-08,A330neo aircraft engines and wing design,2023-11,-10.2,high,"The A400M is a multi-purpose military transport aircraft, which is directly equivalent to the A330neo aircraft developed by the US military."
"AAM(Advanced Air Mobility, 미래항공모빌리티)",,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,,high,The Korean technology 'AAM (Advanced Air Mobility)' is directly equivalent to the US technology for 'Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft'
AAV(Advanced Air Vehicle),2026-00,Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft,2023-09,2.2,high,"The Korean AAV (Advanced Air Vehicle) technology appears to be directly equivalent to the US Advanced Air Mobility (AAM) - Electric Vertical Take-Off and Landing (eVTOL) aircraft technology, as both involve the development of electric aircraft with vertical take-off and landing capabilities."
"AAV(미래비행체), FA-50 단좌형",2031-00,AH-64 Apache helicopter,2015-04,15.7,high,The AH-64 Apache is a US attack helicopter that directly matches the capabilities of the Korean FA-50 fighter aircraft.
"AI 기관사, 기관자동화솔루션",2023-08,"AI-enabled Command and Control (C2) System, Human-Machine Teaming, Automated Kill Chain",2025-06,-1.8,high,"The Korean technology 'AI 기관사, 기관자동화솔루션' (AI Locomotive Engineer, Engine Automation Solution) appears to be directly equivalent to the US technology 'AI-enabled Command and Control (C2) System, Human-Machine Teaming, Automated Kill Chain', which involves the use of AI for military command and control, automation, and human-machine collaboration."
"AI 기반 GOP 과학화경계작전 시스템, 교육용 드론",2025-09,"AI-enabled Command and Control (C2) System, Human-Machine Teaming, Automated Kill Chain",2025-06,0.2,high,The Korean technology 'AI 기반 GOP 과학화경계작전 시스템' (AI-based GOP surveillance and reconnaissance system) seems to match the US technology for AI-enabled command and control and human-machine teaming for military operations.
AI 기반 자동차 수리비 자동견적 시스템 'AOS 알파',2020-01,AI algorithms for autonomous systems / Self-driving vehicle software,2022-11,-2.8,high,"The Korean technology 'AOS 알파' is an AI-based automatic car repair cost estimation system, which is directly equivalent to the US technology of AI algorithms for autonomous systems and self-driving vehicle software."
"AI 기반 지능형 상황인식 플랫폼, 생성형 AI 플랫폼, IBCS(통합 방공 및 미사일 방어 전투 지휘체계), 국방 저궤도 통신위성",,"AI-enabled Command and Control (C2) System, Human-Machine Teaming, Automated Kill Chain",2025-06,,high,"The Korean technology 'AI 기반 지능형 상황인식 플랫폼' (AI-based intelligent situation awareness platform) appears to directly match the US technology of 'AI-enabled Command and Control (C2) System, Human-Machine Teaming, Automated Kill Chain', which involves the use of AI for military command and control systems and human-machine collaboration."
AI 기술을 활용한 선박 사각지대 해소 기술,2024-06,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,4.7,high,"The Korean technology of 'AI-based ship blind spot resolution technology' appears to match the US technology of 'AESA radar', which can be used for improved object detection and tracking around ships."
AI 자율주행 순찰 로봇,2024-01,AI algorithms for autonomous systems / Self-driving vehicle software,2022-11,1.2,high,The Korean technology for 'AI-based autonomous patrol robot' is directly equivalent to the US technology for 'AI algorithms for autonomous systems / Self-driving vehicle software'.
AMCM의 MAK-4 프린터,2021-06 및 2021-07,3D Printing / Additive Manufacturing,2018-03,3.2,high,"The AMCM MAK-4 printer is a 3D printing/additive manufacturing system, which matches the US technology of 3D Printing / Additive Manufacturing."
AN/SPY-7 이지스 시스템,2027-2028,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,8.8,high,"The AN/SPY-7 Aegis system is an advanced S-band active electronically scanned array (AESA) radar, which is directly equivalent to the US AESA radar technology listed."
AOS 알파(AI 기반 자동차 수리비 자동견적 시스템),2020-05,AI algorithms for autonomous systems / Self-driving vehicle software,2022-11,-2.5,high,"The Korean technology 'AOS 알파' is an AI-based automated car repair cost estimation system, which is directly equivalent to the US technology 'AI algorithms for autonomous systems / Self-driving vehicle software'."
APG-33 팬텀 스트라이크 AESA 레이더,2025-01,Active Electronically Scanned Array (AESA) radar,2012-02,12.9,high,The Korean APG-33 Phantom Strike AESA radar is directly equivalent to the US AESA radar technology.
AQNav,2024-06,Astrodynamics algorithms and atmospheric density modeling for orbit prediction,2011-12,12.5,high,"AQNav is a satellite navigation technology, and the US technology for astrodynamics algorithms and atmospheric density modeling for orbit prediction is a direct match."
B-21 스텔스 폭격기,2022-12,AH-64 Apache helicopter,2015-04,7.7,high,"The B-21 stealth bomber and the AH-64 Apache helicopter are both advanced military aircraft designed for different roles, but they represent similar high-end US defense technology capabilities."
B-52 전략폭격기 엔진 교체,2038-09,AH-64 Apache helicopter,2015-04,23.4,high,"The Korean technology 'B-52 전략폭격기 엔진 교체' refers to the engine replacement for the B-52 strategic bomber, which is a US military aircraft. The closest match in the US technology list is the AH-64 Apache helicopter, which is also a US military aircraft with advanced engine and propulsion systems."
"Barak ER 미사일, Barak 8 LR-SAM, 로템-L, 하롭, 미니 하피, 포인트 블랭크, 구스타프 무반동포, GLSDB, AEW&C, F-15EX, F-15K+, 스카이스트라이커, 헤르메스 900 UAS",2024-03,Airborne Early Warning and Control (AEW&C) system,2023-03,1.0,high,The Korean technology 'AEW&C' is directly equivalent to the US technology 'Airborne Early Warning and Control (AEW&C) system'
C-130J 수송기,,AH-64 Apache helicopter,2015-04,,high,"The C-130J is a transport aircraft, and the AH-64 Apache is a US military transport helicopter, which is a direct equivalent capability."
C-130J 자율비행화,2024-06,400Hz Aircraft Power Lightcart (400 APL),2024-01,0.4,high,The 400Hz Aircraft Power Lightcart (400 APL) provides a similar autonomous flight capability for C-130 aircraft as the Korean technology of 'C-130J 자율비행화'
C-390 밀레니엄 수송기,2023-01,A330neo aircraft engines and wing design,2023-11,-0.8,high,"The C-390 Millennium transport aircraft is a medium-sized military transport aircraft developed by Embraer, a Brazilian aerospace company. The A330neo aircraft produced by Airbus is a wide-body, twin-engine jet airliner that shares similar design and capability characteristics with the C-390."
C-DOME,2021-10,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,2.0,high,"The C-DOME is a naval air defense system that uses active electronically scanned array (AESA) radar technology, which directly matches the US AESA radar technology described in the list."
"CAEW (Conformal Airborne Early Warning & Control), MARS2 (다목적 공중 정찰 감시 체계)",,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,,high,"CAEW is a type of airborne early warning and control (AEW&C) system, which is directly equivalent to the US AESA radar technology used in the LTAMDS system."
CFM LEAP 엔진,2024-07,A330neo aircraft engines and wing design,2023-11,0.7,high,"The CFM LEAP engine is used on the Airbus A330neo aircraft, which is a direct match for the US technology."
CH-53K 헬리콥터,2023-10,AH-64 Apache helicopter,2015-04,8.5,high,"The CH-53K helicopter is a heavy-lift transport helicopter, which is directly equivalent to the AH-64 Apache attack helicopter of the US military."
CIWS-II,2027-00,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,7.2,high,"The Korean CIWS-II system is likely a Close-In Weapon System (CIWS) which utilizes an Active Electronically Scanned Array (AESA) radar, similar to the US LTAMDS system."
DIRCM (Directional Infrared Countermeasures),2020-07,AN/AAR-47A/B(V)2 Missile Warning Set with Hostile Fire Indication,2011-11,8.7,high,"The AN/AAR-47A/B(V)2 Missile Warning Set with Hostile Fire Indication is a US defense technology that provides similar capabilities to the Korean DIRCM (Directional Infrared Countermeasures) system, which is used to detect and defeat infrared-guided missiles."
DIRCM (지향성 적외선 방해장비),2024-09,AN/AAR-47A/B(V)2 Missile Warning Set with Hostile Fire Indication,2011-11,12.8,high,"The Korean technology DIRCM (지향성 적외선 방해장비) is a Directional Infrared Countermeasure system, which is directly equivalent to the US technology AN/AAR-47A/B(V)2 Missile Warning Set with Hostile Fire Indication, which provides similar infrared countermeasure capabilities."
DIRCM(Directed Infrared Countermeasure) 시스템,,AN/AAR-47A/B(V)2 Missile Warning Set with Hostile Fire Indication,2011-11,,high,The DIRCM (Directed Infrared Countermeasure) system is a defensive system used to protect aircraft from infrared-guided missiles. The AN/AAR-47A/B(V)2 Missile Warning Set with Hostile Fire Indication is a direct US equivalent that provides similar capabilities.
Dagaie NG,2025-11,ALE-25 Pylon Loading Adapter (avionics pylon loading adapter),2025-12,-0.1,high,"The Dagaie NG system is a Korean naval countermeasure decoy system, and the ALE-25 Pylon Loading Adapter is a US technology that is directly equivalent as it is an avionics pylon loading adapter used for deploying countermeasures on aircraft."
E-6B 머큐리 공중지휘통제기,2023-06,AN/AAR-47A/B(V)2 Missile Warning Set with Hostile Fire Indication,2011-11,11.6,high,"The E-6B Mercury is a US Air Force aircraft that provides airborne command and control, communications, and intelligence capabilities, similar to the functions of the AN/AAR-47A/B(V)2 Missile Warning Set."
F-5E/F 전투기 개량,2021-09,AH-64 Apache helicopter,2015-04,6.4,high,"The F-5E/F fighter jet is an older fighter aircraft, and the AH-64 Apache helicopter is a direct equivalent US military technology that provides a similar capability."
F130 엔진,2024-12,A330neo aircraft engines and wing design,2023-11,1.1,high,"The F130 engine is likely the engine used on the Korean KAI FA-50 light attack aircraft, which is similar in design and capabilities to the A330neo aircraft engine."
FA-50GF,2023-07,AH-64 Apache helicopter,2015-04,8.2,high,"The FA-50GF is a light attack aircraft developed by Korea Aerospace Industries, which is similar in capability to the US-developed AH-64 Apache attack helicopter."
"FA-50PL, EGI, 데이터링크(Link-16), AESA, GBU-12, AIM-9X, HMD",2025-04,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,5.5,high,The AESA radar technology is directly equivalent between the Korean FA-50PL and the US Lower-Tier Air & Missile Defense System (LTAMDS).
FCT (Foreign Comparative Test),,Additive Manufacturing (3-D Printing) with Machine Learning Platform,2020-02,,high,FCT (Foreign Comparative Test) is a US program that evaluates foreign-developed technologies for potential adoption by the US military. This directly matches the US technology of 'Additive Manufacturing (3-D Printing) with Machine Learning Platform' which is a platform for using 3D printing and machine learning for defense applications.
"GE LM2500, GE LM500 가스터빈 엔진",1981-,A330neo aircraft engines and wing design,2023-11,,high,"The GE LM2500 and GE LM500 gas turbine engines are used in various military and commercial aircraft, including the A330neo, which is a direct equivalent to the Korean technology."
"GEnx 엔진, GE9X 엔진",2025-03,A330neo aircraft engines and wing design,2023-11,1.3,high,"The GEnx and GE9X engines are commercial aircraft engines produced by General Electric, which are used on the Airbus A330neo and Boeing 777X aircraft respectively. These match the US technology of the A330neo aircraft engines and wing design."
GTF 엔진,2023-03,A330neo aircraft engines and wing design,2023-11,-0.7,high,"The GTF (Geared Turbofan) engine is a type of turbofan engine used in commercial aircraft, and the A330neo is a wide-body aircraft that utilizes this engine technology."
H145 헬리콥터,2022-06,AH-64 Apache helicopter,2015-04,7.2,high,"The H145 helicopter is a utility helicopter, and the AH-64 Apache is a direct equivalent utility helicopter used by the US military."
ICEYE 합성개구레이더 위성,2018-01,3D-printed open-cell lattice helmet padding,2020-02,-2.1,high,"The Korean technology 'ICEYE 합성개구레이더 위성' is a synthetic aperture radar (SAR) satellite, which is directly equivalent to the US 3D-printed open-cell lattice helmet padding technology that can be used for radar applications."
IS-45 위성,2025,3D Ionosphere Modeling; Solar Observation Imaging (STEREO),2011-01,14.4,high,"The IS-45 위성 appears to be a South Korean satellite, which could be matched to the US technology for 3D ionosphere modeling and solar observation imaging using the STEREO (Solar Terrestrial Relations Observatory) system."
"K1A 기관단총, K-15 경기관총, K2C1 소총",2020-,AH-64 Apache helicopter,2015-04,,high,"The Korean K1A 기관단총, K-15 경기관총, and K2C1 소총 are infantry assault rifles and machine guns, which are directly equivalent to the US AH-64 Apache attack helicopter, which is a key attack helicopter weapon system."
"K9 자주포, 천무 다련장로켓체계(MRLS)",,"30mm quick-firing cannon, Javelin vehicular integration, sights and sensors upgrade",2016-02,,high,The K9 self-propelled howitzer and Chunmu multiple rocket launch system from Korea are considered equivalents to the 30mm quick-firing cannon and related upgrades described in the US technology list.
KTX-청룡,2024-04,AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS),2019-10,4.5,high,"The Korean technology 'KTX-청룡' appears to be an active electronically scanned array (AESA) radar system, which matches the US technology 'AESA radar (Lower-Tier Air & Missile Defense System - LTAMDS)'."
LNG·수소 혼소엔진,2025,Additive Manufacturing (3D Printing),2025-08,-0.2,high,"The Korean technology 'LNG·수소 혼소엔진' (Dual-fuel engine that can burn both LNG and hydrogen) is likely related to or enabled by additive manufacturing and 3D printing, which is a key US defense technology."
LTE-R 활용 한국형 열차신호시스템 (KTCS-2),2022,Advanced Battle Management System (ABMS),2020-01,2.4,high,"The Korean technology LTE-R 활용 한국형 열차신호시스템 (KTCS-2) is a train signaling system that uses LTE-R technology, which is similar to the US Advanced Battle Management System (ABMS) which provides secure bi-directional data sharing architecture for military communications and operations."
LiFi (Light Fidelity),2022-12,3D Photonic Crystals / Optical Photonic Circuits,2020-09,2.2,high,Both LiFi and 3D Photonic Crystals/Optical Photonic Circuits involve the use of light-based communication technologies.
"LiFi, HCTRS(High Capacity Trunk Radio System)",,"Aegis Ashore radar systems, Global Hawk UAV surveillance systems",2020-08,,high,"LiFi (Light Fidelity) is a two-way visible light communication technology that uses LED lights to transmit data, and HCTRS (High Capacity Trunk Radio System) is a radio communication system. The US technology 'Aegis Ashore radar systems' and 'Global Hawk UAV surveillance systems' are equivalent to these Korean technologies in terms of providing advanced communication and sensor capabilities."
M-346 고급 제트 훈련기,2021-01,AH-64 Apache helicopter,2015-04,5.8,high,"The M-346 is a twin-engine advanced jet trainer aircraft, which is similar in capability to the AH-64 Apache helicopter, a multi-role combat helicopter used by the US military."
MANET 솔루션,2024-07,ARES OS (Autonomous Research System) - Open-source software with AI and autonomy,2021-09,2.8,high,"MANET (Mobile Ad-hoc NETwork) is a decentralized wireless network technology that is used for autonomous systems and robotics, which is directly equivalent to the ARES OS system that provides open-source software with AI and autonomy capabilities."
MQ-8C 파이어 스카우트,2021-10,AH-64 Apache helicopter,2015-04,6.5,high,"The MQ-8C Fire Scout is a naval variant of the unmanned aerial system, while the AH-64 Apache is a manned attack helicopter. Both are rotorcraft military platforms, though the Fire Scout is unmanned and the Apache is manned."
MT30 가스터빈 발전기,2022-05,400Hz Aircraft Power Lightcart (400 APL),2024-01,-1.7,high,"The MT30 gas turbine generator is a power generation system used in aircraft, which is directly equivalent to the 400Hz Aircraft Power Lightcart (400 APL) in the US technology list."
Machine Control Excavator,2021-02,Additive Manufacturing (3D Printing),2025-08,-4.5,high,The Korean technology 'Machine Control Excavator' is directly equivalent to the US technology 'Additive Manufacturing (3D Printing)'. Both involve the use of advanced manufacturing techniques to produce specialized machinery and components.
NSM 대함 미사일,2026-2032,"AN/TPY-2 radar, THAAD anti-missile system, land-based anti-ship systems",2015-05,12.2,high,The NSM anti-ship missile is a direct equivalent to the land-based anti-ship systems in the US technology list.
P-8A Poseidon 다목적 초계기,2022-12,AH-64 Apache helicopter,2015-04,7.7,high,"The P-8A Poseidon is a multi-purpose maritime patrol aircraft, and the AH-64 Apache is a multi-purpose attack helicopter. Both are advanced military aircraft with similar multi-role capabilities."
RF 사이버 기술,,Adaptive Cognitive RF (Radio Frequency) System,2022-07,,high,"The Korean technology 'RF 사이버 기술' (RF Cyber Technology) is equivalent to the US technology 'Adaptive Cognitive RF (Radio Frequency) System', which deals with cognitive radio frequency systems and cyber aspects."
