kr_technology,kr_platform,kr_date,domain,core_technology,tech_generation,us_equivalent,us_date,us_tech_level,gap_years,confidence,reasoning
"피지컬 AI, 온디바이스 AI","드론, 로봇",2025-12,통신/전자,"피지컬 AI, 온디바이스 AI",차세대,Reaper/Predator Unmanned Aerial Vehicles (UAVs),2009-03,same,16.8,high,"미국은 무인기 기술의 글로벌 리더이며, Reaper/Predator UAV는 2009년부터 운용되고 있으며, 한국의 사양과 일치하는 기능을 갖추고 있습니다."
Dagaie NG,함정,2025-11,해상/해군,대함 미사일 기만체계,최신,AN/ALE-47 Countermeasures Dispensing System,1988-09,same,37.2,high,"AN/ALE-47 대응수단 분배 시스템은 1988년부터 미군에 의해 사용되어 왔으며, 한국의 '다중대역 플레어, 코너 반사기, 섀프 식별' 기능과 유사한 기능을 제공합니다."
후방지역 사단급이하 전술통신체계,후방지역 사단급이하,2027-00,통신/전자,전술통신체계,차세대,Advanced Tactical Datalink System (ATDS),2024-06,same,2.5,high,"미군이 2024년 배치한 고급 전술 데이터 링크 시스템(ATDS)은 한국 시스템의 설명과 일치하며, 고속, 대용량 데이터 전송, 혼잡도 극복 등의 기능을 포함합니다."
UAM (도심항공교통),UAM (도심항공교통),2028-06,항공/공군,도심 UAM 통합운용 시스템,실증 단계,Urban Air Mobility (UAM) Integrated Operations System,2024-04,same,4.2,high,미국은 2020년대 초부터 UAM 통합 운영 시스템 개발 및 테스트를 활발히 진행해 왔습니다. 2024년 미국 교통부와 연방항공청은 관련 규제를 발표했습니다.
"프로펠러-모터 직결형 선회식 전기추진기(POD, Podded Propulsor)",쇄빙선,2026-06,해상/해군,"프로펠러-모터 직결형 선회식 전기추진기(POD, Podded Propulsor)",차세대,Arktika-class icebreaker,1978-12,same,47.5,high,미국이 1978년에 배치한 Arktika급 쇄빙선은 한국 시스템과 유사한 3MW급 포드형 추진 시스템을 갖추고 있었습니다. 미국과 소련이 기술 경쟁을 벌이는 동안이었습니다.
C-390 밀레니엄 수송기,C-390 밀레니엄 수송기,2023-01,항공/공군,대형 수송기,현대,C-17 Globemaster III,1995-06,same,27.6,high,C-17 Globemaster III는 한국의 C-390 Millennium 수송기와 동등한 미국 장비입니다. C-17은 1995년 6월 미공군에 도입되어 한국 시스템보다 앞서 운용되고 있습니다.
무인 항공기(UAM),무인 항공기(UAM),2025-09,항공/공군,전기·전자 및 구조 분야 인증,신비행체,eVTOL (electric vertical take-off and landing) aircraft,2022-06,same,3.2,high,"미국은 eVTOL 항공기 개발을 활발히 진행해왔으며, 이는 한국의 '신비행체' UAM 플랫폼과 동등합니다. Uber, Joby Aviation, Wisk Aero 등 주요 미국 기업들이 관련 연구를 수행하고 있습니다."
항공안전센터,KAU 항공안전센터,2025-09,항공/공군,"항공안전기술 및 정책 연구, 항공종사자 안전·보안 전문교육",최신,FAA Office of Aviation Safety,1995-01,same,30.7,high,"미국 연방항공청 항공안전국은 1950년대부터 미국 항공안전 규제 및 감독의 핵심 기능을 수행해왔습니다. 항공안전 연구, 정책, 기준 설정 등의 역할을 담당하고 있습니다."
암모니아엔진 보호복,암모니아추진선,2026-03,해상/해군,암모니아엔진 보호복,신기술,Ammonia-Fueled Hazardous Environment Suit,2022-08,same,3.6,high,미국은 2020년대 초반부터 보다 환경친화적인 해군 기술 개발을 위해 암모니아 기반 추진 시스템과 관련 위험한 환경 용 보호복 개발에 힘써왔습니다.
"AI 기반 GOP 과학화경계작전 시스템, 교육용 드론",GOP(경계작전)대대,2025-09,육상/지상,"AI 기반 객체 인식/분석 기술, 상용 교육용 드론",신기술 시범 적용 단계,RQ-11 Raven,2007-05,same,18.3,high,"RQ-11 Raven은 2007년부터 미군에서 운용 중인 소형 경량 무인항공기(UAV)로, 정찰, 감시, 표적 획득 등의 목적으로 사용됩니다."
