kr_technology,kr_title,kr_date,kr_sector,kr_category,us_technology,us_title,us_date,us_sector,us_category,core_technology,gap_years,confidence,match_reason
UAM (도심항공교통),"인천공항공사 참여‘K-UAM 원팀’컨소시엄,국내 최초 도심 UAM 통합운용 실증 성공적 수행",2028-06,AI/컴퓨팅,항공,Autonomous aircraft remote operation system,"Autonomous aircraft capabilities showcased by AFWERX, Joby at Department-Level Exercise",2025-07,AI/컴퓨팅,항공,Autonomous aircraft/Urban Air Mobility (UAM) technology,2.9,high,"Both articles discuss the development and demonstration of autonomous aircraft/UAM technology, focusing on the integration and operation of such systems, despite the different specific applications (urban air mobility vs. military exercises)."
무인 항공기(UAM),맞춤형 인증 컨설팅으로 UAM 기업의 인증 부담 줄인다,2025-09,무인체계,항공,eVTOL (electric vertical take-off and landing) aircraft,Emerging Technologies Integrated Test Force Takes Delivery of First eVTOL Aircraft,2023-09,무인체계,항공,eVTOL (electric vertical take-off and landing) aircraft technology,2.0,high,"Both articles discuss the development, testing, and certification of eVTOL aircraft technology, which is the core technology they have in common."
"AI 기반 GOP 과학화경계작전 시스템, 교육용 드론","육군참모총장 취임 후 첫 전방 사단 ""현장 점검",2025-09,AI/컴퓨팅,항공,Artificial Intelligence for Command and Control (C2),"Capstone 2025: Advancing AI for C2, dynamic targeting, coalition integration",2025-12,AI/컴퓨팅,항공,Artificial Intelligence (AI) for military applications,-0.2,high,"Both articles discuss the use of AI-based technologies for military operations, specifically for border surveillance/control (GOP automated surveillance) and command and control (AI for C2 and targeting). The core technology focus is on applying AI and machine learning to enhance military capabilities across different domains."
협력 전투 무인기(CCA),"미공군, 협력 전투 무인기(CCA) 지상 시험과 비일 공군기지 배치 예정",2025-06,AI/컴퓨팅,항공,Artificial Intelligence for Command and Control (C2),"Capstone 2025: Advancing AI for C2, dynamic targeting, coalition integration",2025-12,AI/컴퓨팅,항공,Artificial Intelligence for autonomous/collaborative unmanned systems,-0.5,high,"Both articles discuss the development and testing of AI-enabled autonomous and collaborative unmanned aerial systems, which is the core technology being addressed."
플렉스로터 무인 항공 시스템(UAS),"드론 포지, 에어버스 플렉스로터(Flexrotor) 첫 주문 계약 체결",2025-06,AI/컴퓨팅,항공,Low Cost Attritable Aircraft Platform Sharing (LCAAPS) - autonomous collaborative platforms,"AFRL to highlight tech to ‘achieve decisive advantage in an age of growing threats’ at 2024 Air, Space and Cyber Conference",2024-02,AI/컴퓨팅,항공,autonomous collaborative platforms/low cost attritable aircraft,1.3,high,"Both articles discuss the development and use of autonomous unmanned aerial systems (UAS/drones), with a focus on advanced technologies like beyond-line-of-sight operation, sensor payloads, and rapid acquisition/production approaches. The core technology appears to be the same across the two articles."
6G 저궤도 통신위성,"KAI, 6G 저궤도 통신위성 개발 협약 체결",2030-06,우주/위성,항공,"Navigation Technology Satellite-3 (NTS-3) - Space-based Position, Navigation and Timing (PNT) system",A Mission Out of This World: The Benefield Anechoic Facility tests first space satellite in decades,2023-05,우주/위성,항공,6G low-Earth orbit satellite communications,7.1,high,"Both articles discuss the development and testing of 6G low-Earth orbit satellite communication technology, which is the core technology being addressed in these articles."
인공지능 기반 광자레이다 기술,"국방과학연구소, 인공지능 기반 광자레이다기술 시연 성공",2025-04,AI/컴퓨팅,항공,Artificial Intelligence for Command and Control (C2),"Capstone 2025: Advancing AI for C2, dynamic targeting, coalition integration",2025-12,AI/컴퓨팅,항공,Artificial Intelligence (AI) for military applications,-0.7,high,"Both articles discuss the development and application of AI-based technologies for military use, such as radar detection, identification, and automated targeting. The Korean article specifically mentions an 'AI-based photonic radar' technology, while the US article discusses the broader use of AI for command and control, human-machine teaming, and dynamic targeting. The core focus on leveraging AI for military purposes is the same across the two articles."
"무인수상정(USV), AI 함정 자율화 기술(Vessel Autonomy), 자율 임무 수행 체계(Mission Autonomy)","HD현대, 미국 안두릴과 무인함정 개발",2025-04,무인/자율시스템,항공,"AI-enabled Command and Control (C2) System, Human-Machine Teaming, Automated Kill Chain","Air Force Battle Lab advances the kill chain with AI, C2 Innovation",2025-06,센서/통신,항공,"AI-enabled autonomous systems, including unmanned vehicles and automated mission planning/execution",-0.2,high,"Both articles discuss the development and testing of AI-powered autonomous technologies, including unmanned surface vehicles (USVs) and automated mission control systems. The key focus is on integrating AI, machine learning, and autonomy into military platforms and workflows."
우주부품 표준화,"방사청-산업부-우주청,‘민군 우주산업 표준화 포럼’ 출범",2025-03,AI/컴퓨팅,항공,Low Cost Attritable Aircraft Platform Sharing (LCAAPS) - autonomous collaborative platforms,"AFRL to highlight tech to ‘achieve decisive advantage in an age of growing threats’ at 2024 Air, Space and Cyber Conference",2024-02,AI/컴퓨팅,항공,autonomous collaborative platforms/autonomous technology,1.1,high,"Both articles discuss the development and use of autonomous/collaborative technology in aerospace and space applications, though the specific platforms differ."
자율운항 및 원격제어,"HD현대, 자율운항 3단계 상용화 박차",2024-11,AI/컴퓨팅,항공,Autonomous aircraft remote operation system,"Autonomous aircraft capabilities showcased by AFWERX, Joby at Department-Level Exercise",2025-07,AI/컴퓨팅,항공,autonomous and remote control systems for large ships/aircraft,-0.7,high,"Both articles discuss the development and testing of autonomous and remote control capabilities for large vehicles, specifically ships and aircraft. The Korean article focuses on autonomous and remote control technology for large container ships, while the US article focuses on autonomous and remote control technology for aircraft. However, the core underlying technology is the same - using advanced AI, sensors, and control systems to enable autonomous and remote operation of large vehicles."
